date,station_pk,fuel,price
2021-01-01,777,100,1.229
2021-01-01,777,95,1.054
2021-01-01,777,dizel,1.119
2021-01-01,777,dizel-premium,1.349
2021-01-01,778,100,1.229
2021-01-01,778,95,1.054
2021-01-01,778,dizel,1.119
2021-01-01,778,dizel-premium,1.349
2021-01-01,781,100,1.229
2021-01-01,781,95,1.054
2021-01-01,781,dizel,1.119
2021-01-01,781,dizel-premium,1.349
2021-01-01,782,100,1.229
2021-01-01,782,95,1.054
2021-01-01,782,dizel,1.119
2021-01-01,782,dizel-premium,1.349
2021-01-01,790,100,1.229
2021-01-01,790,95,1.054
2021-01-01,790,dizel,1.119
2021-01-01,790,dizel-premium,1.349
2021-01-01,791,100,1.229
2021-01-01,791,95,1.054
2021-01-01,791,dizel,1.119
2021-01-01,791,dizel-premium,1.349
2021-01-01,793,100,1.229
2021-01-01,793,95,1.054
2021-01-01,793,dizel,1.119
2021-01-01,793,dizel-premium,1.349
2021-01-01,796,100,1.229
2021-01-01,796,95,1.054
2021-01-01,796,dizel,1.119
2021-01-01,796,dizel-premium,1.349
2021-01-01,823,100,1.229
2021-01-01,823,95,1.054
2021-01-01,823,dizel,1.119
2021-01-01,823,dizel-premium,1.349
2021-01-01,828,100,1.229
2021-01-01,828,95,1.054
2021-01-01,828,dizel,1.119
2021-01-01,828,dizel-premium,1.349
2021-01-01,837,100,1.229
2021-01-01,837,95,1.054
2021-01-01,837,dizel,1.119
2021-01-01,837,dizel-premium,1.349
2021-01-01,844,100,1.229
2021-01-01,844,95,1.054
2021-01-01,844,dizel,1.119
2021-01-01,844,dizel-premium,1.349
2021-01-01,845,100,1.229
2021-01-01,845,95,1.054
2021-01-01,845,dizel,1.119
2021-01-01,845,dizel-premium,1.349
2021-01-01,847,95,1.054
2021-01-01,847,dizel,1.119
2021-01-01,847,dizel-premium,1.349
2021-01-01,848,95,1.054
2021-01-01,848,dizel,1.119
2021-01-01,848,dizel-premium,1.349
2021-01-01,861,100,1.229
2021-01-01,861,95,1.054
2021-01-01,861,dizel,1.119
2021-01-01,861,dizel-premium,1.349
2021-01-01,1923,95,1.063
2021-01-01,1923,dizel,1.127
2021-01-01,1945,95,1.063
2021-01-01,1945,dizel,1.127
2021-01-01,1949,95,1.063
2021-01-01,1949,dizel,1.127
2021-01-01,1949,dizel-premium,1.350
2021-01-01,1976,95,1.063
2021-01-01,1976,dizel,1.127
2021-01-01,1977,95,1.063
2021-01-01,1977,dizel,1.127
2021-01-01,1977,dizel-premium,1.350
2021-01-01,1978,95,1.063
2021-01-01,1978,dizel,1.127
2021-01-01,1978,dizel-premium,1.350
2021-01-01,1997,95,1.063
2021-01-01,1997,dizel,1.127
2021-01-01,2000,95,1.063
2021-01-01,2000,dizel,1.127
2021-01-01,2000,dizel-premium,1.350
2021-01-01,2008,95,1.063
2021-01-01,2008,dizel,1.127
2021-01-01,2009,95,1.063
2021-01-01,2009,dizel,1.127
2021-01-01,2009,dizel-premium,1.350
2021-01-01,2018,95,1.063
2021-01-01,2018,dizel,1.127
2021-01-01,2019,95,1.063
2021-01-01,2019,dizel,1.127
2021-01-01,2026,95,1.063
2021-01-01,2026,dizel,1.127
2021-01-01,2027,95,1.063
2021-01-01,2027,dizel,1.127
2021-01-01,2030,95,1.063
2021-01-01,2030,dizel,1.127
2021-01-01,2031,95,1.063
2021-01-01,2031,dizel,1.127
2021-01-01,2032,95,1.063
2021-01-01,2032,dizel,1.127
2021-01-01,2032,dizel-premium,1.350
2021-01-01,2059,95,1.063
2021-01-01,2059,dizel,1.127
2021-01-01,2059,dizel-premium,1.350
2021-01-01,2060,95,1.063
2021-01-01,2060,dizel,1.127
2021-01-01,2060,dizel-premium,1.350
2021-01-01,2088,95,1.063
2021-01-01,2088,dizel,1.127
2021-01-01,2088,dizel-premium,1.350
2021-01-01,2089,95,1.063
2021-01-01,2089,dizel,1.127
2021-01-01,2095,95,1.063
2021-01-01,2095,dizel,1.127
2021-01-01,2095,dizel-premium,1.350
2021-01-01,2096,95,1.063
2021-01-01,2096,dizel,1.127
2021-01-01,2096,dizel-premium,1.350
2021-01-01,2100,95,1.063
2021-01-01,2100,dizel,1.127
2021-01-01,2101,95,1.063
2021-01-01,2101,dizel,1.127
2021-01-01,2120,95,1.063
2021-01-01,2120,dizel,1.127
2021-01-01,2123,95,1.063
2021-01-01,2123,dizel,1.127
2021-01-01,2141,95,1.063
2021-01-01,2141,dizel,1.127
2021-01-01,2162,95,1.063
2021-01-01,2162,dizel,1.127
2021-01-01,2175,95,1.063
2021-01-01,2175,dizel,1.127
2021-01-01,2176,95,1.063
2021-01-01,2176,dizel,1.127
2021-01-01,2201,95,1.063
2021-01-01,2201,dizel,1.127
2021-01-01,2202,95,1.063
2021-01-01,2202,dizel,1.127
2021-01-01,2216,95,1.063
2021-01-01,2216,dizel,1.127
2021-01-01,2216,dizel-premium,1.350
2021-01-01,2229,95,1.063
2021-01-01,2229,dizel,1.127
2021-01-01,2229,dizel-premium,1.350
2021-01-01,2230,95,1.063
2021-01-01,2230,dizel,1.127
2021-01-01,2230,dizel-premium,1.350
2021-01-01,2231,95,1.063
2021-01-01,2231,dizel,1.127
2021-01-01,2231,dizel-premium,1.350
2021-01-01,2232,95,1.063
2021-01-01,2232,dizel,1.127
2021-01-01,2232,dizel-premium,1.350
2021-01-01,2314,95,1.008
2021-01-01,2314,dizel,1.077
2021-01-03,777,100,1.239
2021-01-03,777,95,1.064
2021-01-03,777,dizel,1.129
2021-01-03,777,dizel-premium,1.359
2021-01-03,778,100,1.239
2021-01-03,778,95,1.064
2021-01-03,778,dizel,1.129
2021-01-03,778,dizel-premium,1.359
2021-01-03,781,100,1.239
2021-01-03,781,95,1.064
2021-01-03,781,dizel,1.129
2021-01-03,781,dizel-premium,1.359
2021-01-03,782,100,1.239
2021-01-03,782,95,1.064
2021-01-03,782,dizel,1.129
2021-01-03,782,dizel-premium,1.359
2021-01-03,790,100,1.239
2021-01-03,790,95,1.064
2021-01-03,790,dizel,1.129
2021-01-03,790,dizel-premium,1.359
2021-01-03,791,100,1.239
2021-01-03,791,95,1.064
2021-01-03,791,dizel,1.129
2021-01-03,791,dizel-premium,1.359
2021-01-03,793,100,1.239
2021-01-03,793,95,1.064
2021-01-03,793,dizel,1.129
2021-01-03,793,dizel-premium,1.359
2021-01-03,796,100,1.239
2021-01-03,796,95,1.064
2021-01-03,796,dizel,1.129
2021-01-03,796,dizel-premium,1.359
2021-01-03,823,100,1.239
2021-01-03,823,95,1.064
2021-01-03,823,dizel,1.129
2021-01-03,823,dizel-premium,1.359
2021-01-03,828,100,1.239
2021-01-03,828,95,1.064
2021-01-03,828,dizel,1.129
2021-01-03,828,dizel-premium,1.359
2021-01-03,837,100,1.239
2021-01-03,837,95,1.064
2021-01-03,837,dizel,1.129
2021-01-03,837,dizel-premium,1.359
2021-01-03,844,100,1.239
2021-01-03,844,95,1.064
2021-01-03,844,dizel,1.129
2021-01-03,844,dizel-premium,1.359
2021-01-03,845,100,1.239
2021-01-03,845,95,1.064
2021-01-03,845,dizel,1.129
2021-01-03,845,dizel-premium,1.359
2021-01-03,847,95,1.064
2021-01-03,847,dizel,1.129
2021-01-03,847,dizel-premium,1.359
2021-01-03,848,95,1.064
2021-01-03,848,dizel,1.129
2021-01-03,848,dizel-premium,1.359
2021-01-03,861,100,1.239
2021-01-03,861,95,1.064
2021-01-03,861,dizel,1.129
2021-01-03,861,dizel-premium,1.359
2021-01-05,766,100,1.176
2021-01-05,766,95,1.024
2021-01-05,767,100,1.176
2021-01-05,767,95,1.024
2021-01-05,768,100,1.249
2021-01-05,768,95,1.049
2021-01-05,769,95,1.024
2021-01-05,770,100,1.176
2021-01-05,770,95,1.024
2021-01-05,771,100,1.176
2021-01-05,771,95,1.024
2021-01-05,772,100,1.176
2021-01-05,772,95,1.024
2021-01-05,773,100,1.176
2021-01-05,773,95,1.024
2021-01-05,774,100,1.176
2021-01-05,774,95,1.024
2021-01-05,775,100,1.176
2021-01-05,775,95,1.024
2021-01-05,776,100,1.176
2021-01-05,776,95,1.024
2021-01-05,777,100,1.249
2021-01-05,777,95,1.069
2021-01-05,778,100,1.249
2021-01-05,778,95,1.069
2021-01-05,779,100,1.176
2021-01-05,779,95,1.024
2021-01-05,780,100,1.176
2021-01-05,780,95,1.024
2021-01-05,781,100,1.249
2021-01-05,781,95,1.069
2021-01-05,782,100,1.249
2021-01-05,782,95,1.069
2021-01-05,783,100,1.176
2021-01-05,783,95,1.024
2021-01-05,789,100,1.176
2021-01-05,789,95,1.024
2021-01-05,790,100,1.249
2021-01-05,790,95,1.069
2021-01-05,791,100,1.249
2021-01-05,791,95,1.069
2021-01-05,792,100,1.176
2021-01-05,792,95,1.024
2021-01-05,793,100,1.249
2021-01-05,793,95,1.069
2021-01-05,794,95,1.024
2021-01-05,795,100,1.176
2021-01-05,795,95,1.024
2021-01-05,796,100,1.249
2021-01-05,796,95,1.069
2021-01-05,797,100,1.176
2021-01-05,797,95,1.024
2021-01-05,798,100,1.176
2021-01-05,798,95,1.024
2021-01-05,799,100,1.176
2021-01-05,799,95,1.024
2021-01-05,800,100,1.176
2021-01-05,800,95,1.024
2021-01-05,801,100,1.176
2021-01-05,801,95,1.024
2021-01-05,802,100,1.176
2021-01-05,802,95,1.024
2021-01-05,803,100,1.176
2021-01-05,803,95,1.024
2021-01-05,804,100,1.249
2021-01-05,804,95,1.049
2021-01-05,805,100,1.249
2021-01-05,805,95,1.049
2021-01-05,806,100,1.176
2021-01-05,806,95,1.024
2021-01-05,807,100,1.176
2021-01-05,807,95,1.024
2021-01-05,808,100,1.176
2021-01-05,808,95,1.024
2021-01-05,809,100,1.176
2021-01-05,809,95,1.024
2021-01-05,810,100,1.176
2021-01-05,810,95,1.024
2021-01-05,811,95,1.024
2021-01-05,812,100,1.176
2021-01-05,812,95,1.024
2021-01-05,813,100,1.176
2021-01-05,813,95,1.024
2021-01-05,814,100,1.176
2021-01-05,814,95,1.024
2021-01-05,815,100,1.176
2021-01-05,815,95,1.024
2021-01-05,816,100,1.176
2021-01-05,816,95,1.024
2021-01-05,817,100,1.176
2021-01-05,817,95,1.024
2021-01-05,818,100,1.176
2021-01-05,818,95,1.024
2021-01-05,819,100,1.176
2021-01-05,819,95,1.024
2021-01-05,820,100,1.176
2021-01-05,820,95,1.024
2021-01-05,821,100,1.176
2021-01-05,821,95,1.024
2021-01-05,822,100,1.176
2021-01-05,822,95,1.024
2021-01-05,823,100,1.249
2021-01-05,823,95,1.069
2021-01-05,824,95,1.024
2021-01-05,825,100,1.176
2021-01-05,825,95,1.024
2021-01-05,826,100,1.176
2021-01-05,826,95,1.024
2021-01-05,827,95,1.024
2021-01-05,828,100,1.249
2021-01-05,828,95,1.069
2021-01-05,829,100,1.176
2021-01-05,829,95,1.024
2021-01-05,830,100,1.176
2021-01-05,830,95,1.024
2021-01-05,831,100,1.176
2021-01-05,831,95,1.024
2021-01-05,832,95,1.024
2021-01-05,833,100,1.176
2021-01-05,833,95,1.024
2021-01-05,834,100,1.176
2021-01-05,834,95,1.024
2021-01-05,835,100,1.176
2021-01-05,835,95,1.024
2021-01-05,836,100,1.176
2021-01-05,836,95,1.024
2021-01-05,837,100,1.249
2021-01-05,837,95,1.069
2021-01-05,838,100,1.176
2021-01-05,838,95,1.024
2021-01-05,839,100,1.176
2021-01-05,839,95,1.024
2021-01-05,840,100,1.176
2021-01-05,840,95,1.024
