pk,name
1,"Petrol d.d., Ljubljana"
2,MOL & INA d.o.o.
3,"M – ENERGIJA, d.o.o."
4,MOL SLOVENIJA d.o.o.
5,Shell Adria d.o.o.
6,EKO-NAFTA d.o.o.
7,LOGO ENERGIJA
9,TehnoSTOR
10,Butan plin d.d.
11,ECO OIL
12,INA Slovenija
13,FE - Trading
14,West oil
15,DISCONT Oil
16,Agas
17,HOJNIK Oil
18,Merkantil
19,LOGO BENCINSKI SERVISI d.o.o.
21,Mini Marketing d.o.o. Stranice
22,BS Demol
23,Prektur d.o.o.
24,Postonjske mesnine oil
25,URMA d.o.o.
26,EKSTRA OLJE
27,AVTOTRANSPORT KOVAČIČ d.o.o.
28,BENCINSKI SERVIS BUČAR
29,Mi oskrba d.o.o.
30,kaolje
31,Istrabenz Plini
32,Energetski-center Dolenjske
33,Volantes d.o.o.
