pk,franchise_pk,name,address,zip_code,lat,lng,first_seen,last_seen
766,2,BS MOL AJŠEVICA,Loke 40,5000,45.95337,13.69157,2020-10-01T13:18:30Z,2024-03-27T09:24:41Z
767,2,BS MOL BENEDIKT,Radgonska c. 15,2234,46.61068,15.89416,2020-10-01T13:18:30Z,2024-02-13T12:39:19Z
768,5,BS BERTOKI,C.med vinogradi 52,6000,45.555358,13.78105,2020-10-01T13:18:30Z,2024-01-31T09:22:59Z
769,2,BS MOL BRESTOVICA,Brestovica 116b,6223,45.81302,13.62228,2020-10-01T13:18:30Z,
770,2,BS MOL BREZOVICA,Tržaška c. 565,1351,46.022535,14.407636,2020-10-01T13:18:30Z,2024-02-21T13:24:09Z
771,2,BS MOL BREŽICE,C.Svobode 35,8250,45.913737,15.595365,2020-10-01T13:18:30Z,
772,2,BS MOL CELJE AERO,Dečkova c. 39,3000,46.24062,15.25644,2020-10-01T13:18:30Z,2024-02-01T23:22:53Z
773,2,BS MOL CELJE MARIBORSKA JUG,Mariborska c. 84,3000,46.23923,15.27456,2020-10-01T13:18:30Z,
774,2,BS MOL CELJE LJUBLJANSKA,Ljubljanska cesta 110,3000,46.238118,15.235194,2020-10-01T13:18:30Z,
775,2,BS MOL ČRNOMELJ,Belokranjska c. 18a,8340,45.57995,15.19583,2020-10-01T13:18:30Z,
776,2,BS MOL DIVAČA,Kolodvorska 1,6215,45.681494,13.968687,2020-10-01T13:18:30Z,
777,2,BS MOL DOBRENJE VZHOD,Sp.Dobrenje 41a,2211,46.605931,15.663342,2020-10-01T13:18:30Z,
778,2,BS MOL DOBRENJE ZAHOD,Sp.Dobrenje 41d,2211,46.609699,15.662384,2020-10-01T13:18:30Z,
779,2,BS MOL DOL PRI LJUBLJANI,Podgora pri Dolskem 40,1262,46.090168,14.650805,2020-10-01T13:18:30Z,
780,2,BS MOL DRAVOGRAD,Koroška c. 49,2370,46.59033,15.01542,2020-10-01T13:18:30Z,
781,2,BS MOL DRAVSKO POLJE JUG,Gerečja vas 1h,2288,46.428962,15.794118,2020-10-01T13:18:30Z,
782,2,BS MOL DRAVSKO POLJE SEVER,Gerečja vas 1g,2288,46.428104,15.796613,2020-10-01T13:18:30Z,
783,2,BS MOL DUTOVLJE,Dutovlje 3b,6221,45.755992,13.835896,2020-10-01T13:18:30Z,
784,2,BS MOL TRUCK SEŽANA,Partizanska 77,6210,45.70387478,13.8514001,2020-10-01T13:18:30Z,
785,2,BS MOL TRUCK LENDAVA,Trimlini 65b,9220,46.54818511,16.44478697,2020-10-01T13:18:30Z,
786,2,BS MOL TRUCK MARIBOR,Tržaška c. 53a,2000,46.52543955,15.65123783,2020-10-01T13:18:30Z,
787,2,ET RAKA,Smednik 12a,8274,45.90779511,15.37201979,2020-10-01T13:18:30Z,2021-01-18T10:10:33Z
788,2,BS MOL TRUCK VRTOJBA,Polje 10,5290,45.92082361,13.63360622,2020-10-01T13:18:30Z,
789,2,BS MOL FERNETIČI,Partizanska c. 151,6210,45.701768,13.841505,2020-10-01T13:18:30Z,
790,2,BS MOL FERNETIČI JUG,Partizanska c. 98,6210,45.704437,13.846496,2020-10-01T13:18:30Z,
791,2,BS MOL FERNETIČI SEVER,Partizanska c. 130,6210,45.70492,13.84554,2020-10-01T13:18:30Z,
792,2,BS MOL GEDEROVCI,Gederovci 17a,9251,46.67921,16.056079,2020-10-01T13:18:30Z,2024-03-06T11:22:45Z
793,2,BS MOL GRABONOŠ,Grabonoš 4c,9244,46.584129,16.008947,2020-10-01T13:18:30Z,
794,2,BS MOL GRAČIŠČE,Gračišče 4a,6272,45.501301,13.873635,2020-10-01T13:18:30Z,
795,2,OMV GROSUPLJE,Ljubljanska c. 62,1290,45.967972,14.660767,2020-10-01T13:18:30Z,2021-09-01T07:32:49Z
796,2,BS MOL GROSUPLJE CIKAVA,Ljubljanska cesta 129,1290,45.9730555555556,14.625555555555556,2020-10-01T13:18:30Z,
797,2,BS MOL ILIRSKA BISTRICA,Bazoviška 45,6250,45.559604,14.244346,2020-10-01T13:18:30Z,
798,2,BS MOL IZOLA,Prešernova cesta 1a,6310,45.53687,13.66795,2020-10-01T13:18:30Z,
799,2,BS MOL IZOLA SEVER,Prešernova 2a,6310,45.537905,13.668631,2020-10-01T13:18:30Z,2024-03-21T23:26:14Z
800,2,BS MOL KAMNIK,Perovo 32,1240,46.208865,14.606844,2020-10-01T13:18:30Z,
801,2,BS MOL KOČEVJE GORNJE LOŽINE,Gornje Ložine 1a,1332,45.689289,14.7997,2020-10-01T13:18:30Z,2024-03-06T11:22:45Z
802,2,BS MOL KOMEN,Komen 119a,6223,45.816868,13.745429,2020-10-01T13:18:30Z,
803,2,BS MOL KOMENDA,Potok pri Komendi 8,1218,46.205702,14.52399,2020-10-01T13:18:30Z,2024-03-06T11:22:45Z
804,2,BS MOL KOPER BONIFIKA,Istrska cesta 14,6000,45.5404,13.7263,2020-10-01T13:18:30Z,
805,5,BS SHELL KOPER SEMEDELA,Istrska cesta 53,6000,45.538903,13.728619,2020-10-01T13:18:30Z,2024-01-30T15:24:58Z
806,2,BS MOL KOPER ANKARANSKA,Ankaranska c. 5d,6000,45.545957,13.742681,2020-10-01T13:18:30Z,
807,2,BS MOL KOPER ŠMARSKA,Šmarska c. 4a,6000,45.530207,13.734777,2020-10-01T13:18:30Z,
808,2,BS MOL KOZINA,Mestni trg 7,6240,45.60807,13.93501,2020-10-01T13:18:30Z,
809,2,BS MOL KRANJ PRIMSKOVO,Cesta Staneta Žagarja 53c,4000,46.24277,14.371453,2020-10-01T13:18:30Z,
810,2,BS MOL KRŠKO,C.Krških žrtev 131a,8270,45.94429,15.48733,2020-10-01T13:18:30Z,
811,2,BS MOL KRVAVI POTOK,Krvavi potok 1,6240,45.61885,13.910126,2020-10-01T13:18:30Z,
812,2,BS MOL LAZARET,Jadranska c. 1,6280,45.59283,13.72411,2020-10-01T13:18:30Z,
813,2,BS MOL LESCE,Hraška c. 17,4248,46.365369,14.16032,2020-10-01T13:18:30Z,
814,2,BS MOL LIPOVCI,Lipovci 243b,9231,46.625125,16.214332,2020-10-01T13:18:30Z,
815,2,BS MOL LITIJA,Zasavska c. 1,1270,46.058713,14.832858,2020-10-01T13:18:30Z,
816,2,BS MOL LJUBLJANA LETALIŠKA,Letališka c. 33b,1000,46.062474,14.570349,2020-10-01T13:18:30Z,
817,2,BS MOL LJUBLJANA LITIJSKA,Litijska c. 40,1000,46.047401,14.546097,2020-10-01T13:18:30Z,
818,2,BS MOL LJUBLJANA CELOVŠKA,Celovška c. 455,1210,46.09891,14.460958,2020-10-01T13:18:30Z,
819,2,BS MOL LJUBLJANA ZALOŠKA JUG,Zaloška 158,1000,46.05628,14.562775,2020-10-01T13:18:30Z,
820,2,BS MOL LJUBLJANA ZALOŠKA SEVER,Zaloška 157,1000,46.056444,14.55814,2020-10-01T13:18:30Z,
821,4,BS MOL LJUTOMER,Kolodvorska 7a,9240,46.5289,16.19006,2020-10-01T13:18:30Z,2024-03-13T12:40:53Z
822,2,BS MOL LOKEV,Lokev 1a,6219,45.66133,13.91942,2020-10-01T13:18:30Z,2024-03-06T11:22:45Z
823,2,BS MOL LOPATA JUG,Lopata 80,3000,46.261718,15.22071,2020-10-01T13:18:30Z,
824,2,BS MOL MARINA PORTOROŽ,Seča 188,6320,45.50526,13.59658,2020-10-01T13:18:30Z,
