pk,name,address,zip_code,lat,lng,method,gurs_address,gurs_lat,gurs_lng,distance_m,error
766,BS MOL AJŠEVICA,Loke 40,5000,45.95337,13.69157,address,"Loke 40, 5000 Nova Gorica",45.95319,13.69178,26,
767,BS MOL BENEDIKT,Radgonska c. 15,2234,46.61068,15.89416,address,"Radgonska cesta 15, 2234 Benedikt",46.61042,15.89389,36,
768,BS BERTOKI,C.med vinogradi 52,6000,45.555358,13.78105,address,"Cesta med vinogradi / Strada fra i Vigneti 52, 6000 Koper - Capodistria",45.55540,13.78089,13,
769,BS MOL BRESTOVICA,Brestovica 116b,6223,45.81302,13.62228,reverse,"Brestovica pri Komnu 116b, 6223 Komen",45.81296,13.62225,7,address not found
770,BS MOL BREZOVICA,Tržaška c. 565,1351,46.022535,14.407636,address,"Tržaška cesta 565, 1351 Brezovica pri Ljubljani",46.02251,14.40776,10,
771,BS MOL BREŽICE,C.Svobode 35,8250,45.913737,15.595365,address,"Cesta svobode 35, 8250 Brežice",45.91362,15.59542,14,
772,BS MOL CELJE AERO,Dečkova c. 39,3000,46.24062,15.25644,address,"Dečkova cesta 39, 3000 Celje",46.24043,15.25667,28,
773,BS MOL CELJE MARIBORSKA JUG,Mariborska c. 84,3000,46.23923,15.27456,address,"Mariborska cesta 84, 3000 Celje",46.23923,15.27449,5,
774,BS MOL CELJE LJUBLJANSKA,Ljubljanska cesta 110,3000,46.238118,15.235194,address,"Ljubljanska cesta 110, 3000 Celje",46.23809,15.23500,15,
775,BS MOL ČRNOMELJ,Belokranjska c. 18a,8340,45.57995,15.19583,address,"Belokranjska cesta 18a, 8340 Črnomelj",45.57991,15.19600,14,
776,BS MOL DIVAČA,Kolodvorska 1,6215,45.681494,13.968687,address,"Kolodvorska ulica 1, 6215 Divača",45.68140,13.96856,14,
777,BS MOL DOBRENJE VZHOD,Sp.Dobrenje 41a,2211,46.605931,15.663342,reverse,"Spodnje Dobrenje 41a, 2211 Pesnica pri Mariboru",46.60622,15.66339,32,address not found
778,BS MOL DOBRENJE ZAHOD,Sp.Dobrenje 41d,2211,46.609699,15.662384,reverse,"Spodnje Dobrenje 41d, 2211 Pesnica pri Mariboru",46.60945,15.66230,28,address not found
